"time","pa.Gp","pa.Ip","rag.Qgut","rag.Qsto1","rag.Qsto2","der(pa.Gp)","der(pa.Ip)","der(rag.Qgut)","der(rag.Qsto1)","der(rag.Qsto2)","pa.G","pa.I","pu.err","rag.Qsto","rag.Rameal","gen.delta","pu.insulin_out","pu.z","gen.meal_off","gen.meal_on","pu.fail","pa.Rameal","pa.insulin_from_pump","pu.glucose","rag.delta"
74.09999999999962,105.9265699161137,63201.0770867196,93428.25194889888,56447.5343363718,107681.2040229047,-0.2740027974043642,-611.9279003249454,-1191.999282095544,-3900.524622643291,-3540.246575339421,105.9265699161137,1465478.274980676,5.926569916113664,164128.7383592765,78.13247618735349,0,5676.401837372181,-257.9579597500016,1,1,0,78.13247618735349,5676.401837372181,105.9265699161137,0
74.10000000000007,105.9265699161136,63201.07708671934,93428.25194889835,56447.53433637008,107681.2040229031,-0.2740027974057284,-611.9279003249192,-1191.999282095602,-3900.524622643172,-3540.246575339432,105.9265699161136,1465478.274980671,5.92656991611355,164128.7383592732,78.13247618735303,0,5676.401837372181,-257.9579597500016,1,1,0,78.13247618735303,5676.401837372181,105.9265699161136,0
74.10000000000007,105.9265699161136,63201.07708671934,93428.25194889835,56447.53433637008,107681.2040229031,0.08180108301030486,-627.7150464515114,-1191.999282095602,-3900.524622643172,-3540.246575339432,105.9265699161136,1465142.378254573,5.92656991611355,164128.7383592732,78.13247618735303,0,5660.614691245589,-257.3653027583902,1,1,0,78.13247618735303,5660.614691245589,105.9265699161136,0
74.19999999999962,105.9102408453881,63138.61829375344,93308.38135534216,56058.82640668286,107327.0582688395,-0.2747848129645263,-621.4740658761391,-1205.394710856805,-3873.664904701785,-3542.634821675024,105.9102408453881,1463813.467765937,5.910240845388074,163385.8846755224,78.03223042548525,0,5660.614691245589,-257.3653027583902,1,1,0,78.03223042548525,5660.614691245589,105.9102408453881,0
74.19999999999962,105.9102408453881,63138.61829375344,93308.38135534216,56058.82640668286,107327.0582688395,-0.2747848129645263,-621.4740658761391,-1205.394710856805,-3873.664904701785,-3542.634821675024,105.9102408453881,1463813.467765937,5.910240845388074,163385.8846755224,78.03223042548525,0,5660.614691245589,-257.3653027583902,1,1,0,78.03223042548525,5660.614691245589,105.9102408453881,0
74.20000000000006,105.9102408453879,63138.61829375316,93308.38135534164,56058.82640668115,107327.058268838,-0.274784812964981,-621.4740658761118,-1205.394710856865,-3873.664904701667,-3542.634821675035,105.9102408453879,1463813.467765931,5.910240845387946,163385.8846755191,78.03223042548483,0,5660.614691245589,-257.3653027583902,1,1,0,78.03223042548483,5660.614691245589,105.9102408453879,0
74.20000000000006,105.9102408453879,63138.61829375316,93308.38135534164,56058.82640668115,107327.058268838,0.08185220377072255,-637.3006182970973,-1205.394710856865,-3873.664904701667,-3542.634821675035,105.9102408453879,1463476.732608038,5.910240845387946,163385.8846755191,78.03223042548483,0,5644.788138824603,-256.7742786738514,1,1,0,78.03223042548483,5644.788138824603,105.9102408453879,0
74.29999999999961,105.8938779906062,63075.20572007588,93187.17658912142,55672.7951900936,106972.6837507759,-0.2755509839992101,-630.9642697858031,-1218.682669656203,-3846.990147635467,-3544.822299543148,105.8938779906062,1462127.528912776,5.893877990606171,162645.4789408695,77.93086891745109,0,5644.788138824603,-256.7742786738514,1,1,0,77.93086891745109,5644.788138824603,105.8938779906062,0
74.29999999999961,105.8938779906062,63075.20572007588,93187.17658912142,55672.7951900936,106972.6837507759,-0.2755509839992101,-630.9642697858031,-1218.682669656203,-3846.990147635467,-3544.822299543148,105.8938779906062,1462127.528912776,5.893877990606171,162645.4789408695,77.93086891745109,0,5644.788138824603,-256.7742786738514,1,1,0,77.93086891745109,5644.788138824603,105.8938779906062,0
74.30000000000005,105.893877990606,63075.2057200756,93187.17658912088,55672.7951900919,106972.6837507744,-0.2755509840001196,-630.9642697857759,-1218.682669656261,-3846.99014763535,-3544.822299543158,105.893877990606,1462127.528912771,5.893877990606043,162645.4789408662,77.93086891745065,0,5644.788138824603,-256.7742786738514,1,1,0,77.93086891745065,5644.788138824603,105.893877990606,0
